GBIFusageKey,prefName,family,englishName,synonyms,legal_status_lk,restriction_type,governing_law
4097060,Dipterocarpus zeylanicus,Dipterocarpaceae,hora,NA,Protected timber (Forest Ordinance),Felling regulated,Forest Ordinance No. 16/1907
5706004,Berrya cordifolia,Malvaceae,"trincomalee, trincomali","Berria rotundifolia, Berrya ammonilla, Berrya ammonilla rotundifolia, Berrya cordifolia, Espera cordifolia, Hexagonotheca cordata, Hexagonotheca cordifolia, Triopteris polyandra, Triopterys poliandra",Protected timber (Forest Ordinance),Felling regulated,Forest Ordinance No. 16/1907
9531830,Calophyllum inophyllum,Calophyllaceae,"Alexandrian Laurel, Alexandrian laurel, Alexandrian-laurel, Borneo Mahogany, Borneo-mahogany, Indian doomba oiltree, Indian-laurel, Mastwood, balltree, beach calophyllum, beach touriga, beautyleaf, laurelwood, mastwood, satin touriga, tacamahac-tree, Tamanu, Beach Calophyllum, Beautyleaf, kamani","Balsamaria bintagor, Balsamaria inophyllum, Calophyllum apetalum, Calophyllum bingator, Calophyllum bintagor, Calophyllum blumei, Calophyllum inophyllum oblongata, Calophyllum inophyllum obovata, Calophyllum inophyllum takamaka, Calophyllum inophyllum wakamatsui, Calophyllum ovatifolium, Calophyllum spurium, Calophyllum wakamatsui",Protected coastal/forest species,Coastal buffer zone controls,Forest Ordinance / CEA Acts
2925649,Tectona grandis,Lamiaceae,"Bankok teak, Indian Oak, Indian-oak, Segun, Teak, teak","Jatus grandis, Tectona grandis abludens, Tectona grandis canescens, Tectona grandis pilosula, Tectona grandis punctata, Tectona grandis tomentella, Tectona theca, Theka grandis",Protected timber (Forest Ordinance),Felling regulated,Forest Ordinance No. 16/1907
2984565,Artocarpus heterophyllus,Moraceae,"Jackfruit, Kathal, Khatal, jack, jackfruit, jak","Artocarpus brasiliensis, Artocarpus grandis, Artocarpus integra, Artocarpus integrifolia glabra, Artocarpus integrifolius glaber, Artocarpus integrifolius heterophylla, Artocarpus jaca, Artocarpus maximus, Artocarpus nanca, Artocarpus philippensis, Polyphema jaca, Sitodium cauliflorum",Heritage tree designations,Felling restricted (heritage),Forest Ordinance / Local Auth.
5324378,Dendrobium macraei,Orchidaceae,Sri Lanka orchid,"Callista macraei, Ephemerantha macraei, Flickingeria macraei",Protected (FFPO Schedule V / CITES App. II),Collection/trade regulated,FFPO Cap. 469 / CITES
3702080,Nepenthes distillatoria,Nepenthaceae,Ceylon pitcher plant,"Nepenthes chapmanii, Nepenthes distillatoria, Nepenthes distillatoria rubra, Nepenthes distillatoria speciosa, Nepenthes distillatoria vera, Nepenthes hirsuta glabrescens, Nepenthes indica, Nepenthes rubra, Nepenthes smithii, Nepenthes speciosa, Nepenthes zeylanica, Nepenthes zeylanica rubra",Strictly Protected (FFPO / CITES App. II),Collection/trade prohibited,FFPO Cap. 469 / CITES
2846254,Bulbophyllum elegantulum,Orchidaceae,Lanka bulbophyllum,"Bulbophyllum pileolatum, Cirrhopetalum elegantulum, Cirrhopetalum pileolatum",Protected (FFPO / CITES App. II),Collection/trade regulated,FFPO Cap. 469 / CITES
5315188,Rhynchostylis retusa,Orchidaceae,Foxtail orchid,"Aerides guttata, Aerides praemorsa, Aerides retusa, Aerides spicata, Aerides undulata, Epidendrum hippium, Epidendrum indicum, Epidendrum retusum, Gastrochilus blumei, Gastrochilus garwalicus, Gastrochilus retusus, Gastrochilus rheedei, Gastrochilus spicatus, Limodorum retusum, Orchis lanigera, Rhynchostylis albiflora, Rhynchostylis garwalica, Rhynchostylis guttata, Rhynchostylis praemorsa, Rhynchostylis retusa albiflora, Saccolabium blumei, Saccolabium blumei majus, Saccolabium furcatum, Saccolabium garwalicum, Saccolabium guttatum, Saccolabium guttatum giganteum, Saccolabium guttatum holfordii, Saccolabium heathii, Saccolabium macrostachyum, Saccolabium praemorsum, Saccolabium retusum, Saccolabium rheedei, Saccolabium spicatum, Saccolabium violaceum, Sarcanthus guttatus",Protected (CITES App. II),Trade regulated,CITES / FFPO Cap. 469
2783229,Vanda tessellata,Orchidaceae,Grey Orchid,"Aerides tessellata, Cymbidium allagnata, Cymbidium tessellatum, Cymbidium tesselloides, Epidendrum tessellatum, Vanda roxburghii, Vanda roxburghii wrightiana, Vanda tessellata, Vanda tesselloides",Protected (CITES App. II),Trade regulated,CITES / FFPO Cap. 469
2683246,Cycas nathorstii,Cycadaceae,Ceylon cycad,NA,Protected (FFPO / CITES App. II),Collection/trade prohibited,FFPO Cap. 469 / CITES
4096982,Doona cordifolia,Dipterocarpaceae,Red doon,NA,Protected (Red List / FFPO),Collection prohibited,FFPO Cap. 469 / Forest Ordinance
